authorID,rank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
51092151,13659,Joachim Hornegger,631,10038,27,532,275,8,
511619218,14827,Patrick Le Callet,283,2234,33,343,462,11,
1976763668,14794,Peer Timo Bremer,224,3124,71,67,1173,15,
2154166576,13924,Changsheng Xu,403,9471,31,387,773,14,
14227721,13541,Steven M. Drucker,254,10995,39,229,2167,18,
2119006874,15625,Alexandre Bergel,139,1037,40,214,214,9,
2149241181,16644,Rita Borgo,46,471,34,305,453,12,
260487745,12809,Heinrich H. BÃ¼lthoff,1507,22243,23,684,149,7,
2120354443,13082,Richard B. Miles,805,19789,31,372,553,10,
1998742316,15303,Luc Renambot,80,1299,35,288,597,14,
2289975239,12963,Markus Gross,552,22483,51,136,798,17,
1837758571,16228,Kawa Nazemi,84,356,32,347,204,9,
1965032571,14594,Arjan Kuijper,353,2471,26,573,135,7,
2145985750,16818,Dirk Burkhardt,50,184,21,814,94,6,
1986545499,15800,Katja BÃ¼hler,86,1115,21,881,334,7,
2057155413,15305,Markus Hadwiger,122,2102,47,160,740,15,
