Topic,Count,Name,x,y,h,s,v,label
35,2369,energy_battery_power_charge_electric_electricity_consumption_demand_grid_smart,-7.210523,7.705535,133.1,0.4189712632027084,1,1
36,2323,needle_surgical_ultrasound_surgery_registration_guide_reality_guidance_augment_robotic,2.041504,11.180147,79.7,0.4512071005038885,1,8
37,2258,word_translation_embeddings_text_language_disambiguation_sense_sentence_english,-2.3608449,1.9968715,139.8,0.1227608042068366,1,4
38,2156,bayesian_inference_likelihood_mcmc_naive_model_estimator_posterior_mixture,7.8766556,6.0886927,37.7,0.3952513773200238,1,0
39,2098,covid_19_sars_pandemic_coronavirus_2020_infection,2.1977177,14.416268,81.3,0.578958950893817,1,8
40,2012,mining_pattern_itemsets_frequent_utility_rule_association_sequential,1.3808104,-12.313492,276.4,0.4919273471281492,1,2
41,1915,cluster_algorithm_subspace_mean_clustering_spectral,-3.9401486,10.8275385,110.0,0.4574465541280913,1,1
42,1874,traffic_trajectory_travel_mobility_taxi_spatio_urban_transportation_road,-11.091683,-4.487321,202.0,0.475028033768505,1,3
43,1832,biomedical_ontology_text_clinical_semantic_umls_nlp_language,-2.6173286,2.2469215,139.4,0.1369501684623692,1,4
44,1831,vehicle_driver_drive_autonomous_lane_road_traffic_car,-2.9662454,10.253832,106.1,0.4237831166412278,1,1
45,1829,polygon_polynomial_convex_point_bound_plane_log_let,1.5300136,-1.7188159,311.7,0.0913587589000064,1,2
46,1753,storage_backup_file_disperse_data_plurality_device_store_disk_volume,16.13682,-0.48215523,358.3,0.6409407410155554,1,9
47,1751,track_tracker_object_target_appearance_particle_visual_filter_occlusion,8.563544,10.133037,49.8,0.5267180254776398,1,5
48,1739,pose_estimation_3d_body_human_hand_2d_6d_shape,-6.431456,3.3806477,152.3,0.288464166708065,1,4
49,1687,para_que_la_el_en_um_una_uma_del_sistema,11.085452,1.3965999,7.2,0.4435872885093837,1,6
50,1675,compound_drug_chemical_molecular_screen_molecule_similarity_target,8.38653,6.109194,36.1,0.4119320126475237,1,0
51,1651,agent_negotiation_coordination_ma_multi_multiagent_system,-8.100779,14.019206,120.0,0.642820901676552,1,7
52,1629,privacy_private_differential_preserve_differentially_anonymization_anonymity_sensitive_data_disclosure,-7.727701,7.6521425,135.3,0.4317658681399668,1,1
53,1607,image_camera_apparatus_digital_device_processing_light_plurality,11.764229,-2.5194607,347.9,0.4776475810990204,1,6
54,1576,film_magnetic_temperature_ion_dielectric_irradiation_doped_property_zno_magnetization,20.550352,4.050414,11.1,0.8315746869431586,1,9
55,1537,carcinoma_renal_metastatic_patient_pt_sunitinib_cell_survival_mrcc_therapy,10.851804,15.432476,54.9,0.7490040290234842,1,5
56,1532,knee_bone_hip_femoral_arthroplasty_unicompartmental_cartilage_ct_femur_joint,10.263088,15.411465,56.3,0.7351137900674936,1,5
57,1505,printhead_ink_printer_inkjet_printing_nozzle_assembly_cartridge_have,12.3114395,-2.7803397,347.3,0.5010909192534627,1,6
58,1504,sensor_wireless_network_energy_lifetime_wsns_node_rout,-6.795871,7.1750827,133.4,0.3923531329906232,1,1
59,1487,prostate_men_cancer_psa_prostatectomy_radical_biopsy_risk_gleason_antigen,10.822295,15.386689,54.9,0.7468431682168287,1,5
60,1417,lithium_battery_electrolyte_ion_carbon_electrochemical_catalyst_cathode_metal,20.550526,4.0502543,11.1,0.8315802385636187,1,9
61,1373,color_image_constancy_colour_gamut_luminance_colorization_retinex,4.9376493,5.274846,46.9,0.2868531499307922,1,0
62,1358,touch_display_device_screen_input_interface_user_electronic_displayed_graphical,11.606935,-2.6264997,347.2,0.4724627633701092,1,6
